Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Bank,Cardiology,11,10,23,16,Friday,12,51
Bank,Customer Service,44,14,8,36,Thursday,14,34
Hospital,Cardiology,78,4,12,45,Tuesday,18,58
Hospital,Emergency,114,2,14,46,Thursday,12,114
Bank,Customer Service,36,3,14,52,Monday,19,52
Hospital,Cardiology,89,6,0,8,Wednesday,11,34
Government Office,Emergency,27,13,20,52,Wednesday,12,49
Bank,Cardiology,113,1,6,44,Wednesday,20,77
Government Office,Emergency,29,12,11,30,Friday,17,22
Hospital,General,116,1,8,16,Wednesday,12,94
Government Office,Loan Department,60,3,4,38,Monday,19,35
Bank,Emergency,81,7,9,49,Thursday,9,50
Bank,Customer Service,42,4,20,37,Tuesday,17,67
Bank,General,60,9,7,41,Thursday,14,54
Government Office,General,97,3,21,55,Thursday,12,114
Hospital,Cardiology,16,6,3,35,Tuesday,17,20
Bank,Cardiology,91,12,1,40,Thursday,16,52
Bank,Cardiology,71,9,20,22,Thursday,12,74
Bank,Cardiology,102,9,13,8,Tuesday,16,77
Government Office,Customer Service,45,13,17,19,Friday,20,34
Bank,Emergency,73,2,9,5,Thursday,11,46
Bank,Loan Department,100,10,16,52,Saturday,14,96
Government Office,General,53,14,5,27,Saturday,17,18
Government Office,General,8,1,8,8,Thursday,13,33
Bank,Emergency,108,7,14,35,Saturday,15,87
Government Office,Customer Service,52,3,10,38,Wednesday,15,63
Bank,Loan Department,84,9,14,17,Tuesday,17,57
Hospital,General,72,14,11,34,Friday,18,32
Hospital,Emergency,89,8,3,35,Tuesday,14,57
Hospital,Customer Service,35,10,22,58,Thursday,19,52
Government Office,Emergency,20,5,20,19,Friday,19,42
Hospital,Emergency,118,5,12,23,Friday,8,68
Bank,Customer Service,104,4,19,23,Thursday,11,78
Bank,Cardiology,48,7,24,48,Friday,20,67
Bank,Loan Department,73,7,9,36,Tuesday,9,44
Bank,Loan Department,45,13,6,9,Wednesday,17,5
Government Office,General,64,3,20,12,Thursday,18,61
Bank,Customer Service,96,1,6,18,Saturday,8,58
Government Office,Loan Department,44,6,10,23,Friday,20,28
Bank,Cardiology,54,1,12,18,Monday,11,56
Hospital,General,53,4,11,14,Wednesday,18,50
Hospital,Cardiology,61,1,6,31,Monday,13,65
Bank,Emergency,114,7,19,24,Monday,15,96
Government Office,Emergency,58,9,4,25,Tuesday,13,31
Hospital,General,23,1,0,49,Friday,20,29
Government Office,General,46,5,2,45,Saturday,10,39
Bank,Cardiology,106,13,22,24,Monday,20,68
Hospital,Loan Department,48,13,1,25,Monday,11,15
Bank,Cardiology,119,5,12,53,Wednesday,13,98
Bank,Emergency,77,1,1,23,Thursday,14,56
Government Office,Cardiology,67,14,3,23,Saturday,9,16
Government Office,Customer Service,73,7,17,57,Tuesday,8,69
Government Office,General,18,5,17,46,Saturday,15,59
Hospital,Emergency,87,12,17,21,Thursday,16,70
Bank,Emergency,85,1,14,36,Monday,14,91
Bank,Loan Department,13,12,23,39,Saturday,19,28
Hospital,General,24,1,20,53,Tuesday,19,68
Government Office,Cardiology,5,10,14,36,Wednesday,20,21
Bank,Cardiology,116,14,17,43,Friday,9,81
Bank,Loan Department,97,2,11,12,Saturday,8,72
Hospital,Customer Service,40,2,5,13,Friday,14,46
Hospital,Cardiology,77,14,7,55,Tuesday,18,42
Bank,Customer Service,68,9,11,6,Thursday,11,33
Bank,Emergency,82,6,22,52,Thursday,18,82
Bank,Emergency,11,9,11,46,Tuesday,8,20
Government Office,Customer Service,112,2,9,42,Monday,12,93
Bank,Customer Service,78,14,11,21,Tuesday,9,42
Hospital,General,75,14,8,35,Saturday,11,31
Bank,Customer Service,38,6,17,42,Wednesday,14,71
Hospital,Cardiology,62,3,1,48,Wednesday,20,45
Bank,Loan Department,118,3,2,26,Monday,12,78
Hospital,General,78,3,2,16,Wednesday,13,46
Bank,Emergency,70,4,9,43,Saturday,20,54
Hospital,Loan Department,21,4,5,23,Wednesday,15,42
Bank,Loan Department,81,3,20,28,Thursday,18,73
Hospital,Cardiology,8,8,2,7,Thursday,13,5
Hospital,Loan Department,39,8,11,29,Tuesday,13,44
Government Office,Emergency,81,4,13,18,Wednesday,15,70
Bank,Loan Department,109,2,24,17,Monday,8,91
Hospital,Emergency,70,4,10,30,Wednesday,11,47
Hospital,General,103,12,11,28,Wednesday,10,51
Bank,Customer Service,88,7,6,17,Monday,12,61
Bank,Emergency,17,8,9,37,Wednesday,19,15
Hospital,Customer Service,44,6,15,49,Tuesday,16,76
Government Office,General,60,10,9,56,Friday,12,59
Government Office,Cardiology,71,8,10,49,Thursday,9,41
Bank,General,67,4,24,38,Monday,16,93
Bank,Customer Service,84,9,11,11,Monday,9,41
Hospital,General,27,11,13,10,Saturday,13,23
Bank,General,6,6,19,29,Wednesday,13,47
Bank,Cardiology,41,1,19,37,Saturday,15,78
Bank,Emergency,118,5,6,22,Monday,13,73
Bank,General,99,10,14,46,Friday,10,67
Bank,General,52,12,17,27,Monday,18,28
Hospital,Loan Department,73,7,20,43,Wednesday,18,80
Hospital,General,24,8,12,31,Monday,20,26
Hospital,Emergency,63,6,4,27,Friday,12,41
Government Office,Loan Department,102,5,14,36,Monday,19,71
Government Office,Customer Service,68,13,21,55,Tuesday,16,78
Hospital,Cardiology,8,14,2,33,Friday,14,11
Hospital,Loan Department,43,6,13,6,Saturday,12,53
Bank,Customer Service,40,11,14,22,Tuesday,18,29
Government Office,General,35,12,6,5,Friday,10,10
Hospital,Customer Service,47,6,19,7,Wednesday,16,60
Government Office,General,68,10,4,13,Friday,19,22
Hospital,Loan Department,38,12,5,35,Tuesday,9,7
Government Office,Loan Department,89,1,14,10,Saturday,13,87
Hospital,Cardiology,7,10,4,50,Wednesday,8,11
Bank,Cardiology,106,12,7,9,Saturday,17,43
Hospital,General,20,1,15,41,Thursday,18,50
Bank,General,84,7,10,25,Monday,20,47
Bank,General,58,11,5,30,Friday,9,21
Hospital,Emergency,15,8,7,37,Monday,16,24
Hospital,Customer Service,75,6,20,12,Saturday,12,76
Government Office,Customer Service,97,9,14,34,Thursday,16,84
Bank,Cardiology,14,13,21,20,Thursday,17,24
Bank,Cardiology,90,7,22,45,Monday,12,98
Government Office,Customer Service,97,6,15,42,Thursday,15,79
Government Office,General,92,13,18,53,Monday,18,68
Bank,General,96,12,7,27,Thursday,18,45
Government Office,Loan Department,40,9,13,6,Wednesday,17,27
Hospital,Loan Department,77,5,0,27,Wednesday,16,43
Bank,Cardiology,71,6,5,57,Saturday,13,66
Bank,Customer Service,62,10,17,27,Saturday,9,51
Hospital,Cardiology,107,8,15,24,Wednesday,11,73
Government Office,Loan Department,69,1,0,57,Thursday,8,49
Bank,Loan Department,50,7,10,28,Friday,10,34
Government Office,Customer Service,68,12,12,30,Thursday,13,52
Bank,Customer Service,39,8,3,20,Saturday,17,14
Bank,Loan Department,20,11,16,55,Saturday,15,47
Hospital,Cardiology,102,11,0,19,Wednesday,16,43
Government Office,General,119,4,10,9,Tuesday,17,68
Government Office,Emergency,102,7,8,46,Tuesday,9,62
Government Office,Cardiology,91,7,6,7,Wednesday,9,43
Hospital,Loan Department,105,2,8,11,Monday,8,60
Government Office,Customer Service,24,2,20,40,Wednesday,11,57
Government Office,Loan Department,60,3,15,34,Friday,19,53
Hospital,Customer Service,40,9,22,29,Tuesday,13,77
Government Office,Emergency,55,6,23,47,Saturday,12,99
Bank,Emergency,105,5,3,40,Saturday,20,56
Bank,General,54,9,17,26,Thursday,9,45
Government Office,Customer Service,25,4,11,43,Friday,9,37
Government Office,Cardiology,35,3,8,35,Saturday,19,30
Bank,Loan Department,105,2,19,52,Tuesday,8,99
Government Office,Cardiology,45,3,4,22,Thursday,10,26
Hospital,Customer Service,16,13,6,18,Wednesday,11,5
Government Office,Customer Service,110,10,10,21,Thursday,8,52
Hospital,Cardiology,49,10,8,53,Monday,12,49
Bank,Cardiology,66,9,17,18,Friday,16,63
Government Office,General,19,6,23,46,Tuesday,16,69
Bank,Loan Department,118,9,16,48,Monday,9,79
Government Office,Cardiology,84,11,13,7,Monday,14,65
Government Office,Cardiology,49,10,17,24,Wednesday,13,48
Government Office,Loan Department,116,9,24,42,Friday,17,91
Hospital,Loan Department,96,4,4,12,Thursday,8,43
Bank,Cardiology,102,12,4,58,Monday,19,50
Bank,General,34,2,11,33,Wednesday,10,42
Bank,General,94,9,8,30,Friday,10,42
Hospital,Cardiology,29,3,12,43,Tuesday,11,35
Bank,General,39,7,22,13,Monday,19,54
Bank,Cardiology,100,2,12,50,Saturday,9,84
Government Office,Emergency,62,10,11,14,Tuesday,12,44
Government Office,General,38,5,6,10,Thursday,16,39
Hospital,Customer Service,59,3,12,7,Wednesday,13,66
Bank,Loan Department,74,11,16,46,Monday,12,71
Government Office,Cardiology,117,4,1,15,Tuesday,19,46
Bank,Customer Service,104,8,19,50,Tuesday,12,107
Government Office,Customer Service,26,5,17,47,Wednesday,19,44
Hospital,Emergency,102,9,14,13,Wednesday,15,78
Government Office,Loan Department,24,8,24,23,Saturday,10,53
Government Office,Cardiology,87,7,7,36,Thursday,15,63
Bank,Emergency,31,14,18,54,Saturday,17,37
Bank,Loan Department,37,3,4,23,Saturday,16,40
Bank,General,115,7,6,30,Saturday,8,57
Government Office,Emergency,96,5,4,53,Friday,17,54
Bank,Customer Service,9,6,14,17,Saturday,17,23
Government Office,General,111,2,17,57,Wednesday,8,94
Bank,Cardiology,20,13,6,37,Thursday,17,5
Government Office,Loan Department,6,1,5,50,Friday,13,28
Hospital,Loan Department,42,10,23,22,Monday,9,47
Hospital,Customer Service,21,7,5,18,Monday,17,24
Government Office,Loan Department,10,10,6,16,Monday,13,19
Hospital,General,52,7,7,54,Saturday,14,67
Government Office,General,17,5,8,14,Wednesday,16,28
Government Office,Emergency,6,9,12,38,Monday,11,23
Government Office,General,62,2,2,42,Wednesday,10,41
Bank,Loan Department,74,7,15,53,Friday,18,64
Bank,General,71,2,6,13,Thursday,10,46
Bank,General,98,4,4,5,Friday,18,40
Government Office,General,96,13,17,16,Tuesday,18,52
Bank,Emergency,84,8,2,26,Thursday,20,32
Hospital,Emergency,15,7,13,33,Saturday,11,24
Bank,Loan Department,99,10,8,47,Thursday,19,51
Hospital,Emergency,53,3,1,28,Saturday,17,28
Government Office,Emergency,82,9,15,5,Monday,10,49
Bank,Emergency,71,6,17,13,Tuesday,12,65
Bank,Customer Service,25,11,9,10,Thursday,8,11
Hospital,Emergency,48,4,12,21,Monday,14,55
Government Office,Emergency,91,14,4,13,Wednesday,13,43
Bank,General,15,5,2,31,Friday,12,27
Bank,Emergency,43,14,13,41,Saturday,8,23
Bank,Cardiology,96,12,10,27,Friday,10,51
Hospital,Emergency,103,2,6,41,Thursday,18,62
Bank,Emergency,62,5,19,49,Tuesday,12,86
Government Office,General,42,4,17,29,Thursday,20,54
Bank,Customer Service,36,10,5,45,Wednesday,9,23
Government Office,Emergency,9,13,18,16,Monday,10,11
Government Office,Cardiology,61,3,2,16,Saturday,16,48
Bank,Customer Service,81,9,14,58,Thursday,14,86
Government Office,Emergency,57,4,4,28,Tuesday,10,38
Bank,Cardiology,54,4,15,54,Wednesday,15,79
Hospital,Customer Service,80,13,12,46,Monday,11,47
Bank,Customer Service,13,8,17,27,Monday,19,28
Bank,Customer Service,81,12,17,19,Wednesday,9,53
Bank,Customer Service,84,9,9,28,Monday,13,54
Government Office,Emergency,53,2,6,8,Wednesday,9,28
Hospital,Cardiology,94,2,22,57,Saturday,10,99
Government Office,Customer Service,37,9,20,21,Monday,8,31
Government Office,Customer Service,18,13,19,34,Tuesday,17,26
Bank,General,57,7,23,17,Tuesday,10,56
Hospital,Cardiology,107,8,17,13,Thursday,8,73
Government Office,Cardiology,36,13,21,21,Thursday,8,39
Hospital,General,72,10,9,28,Thursday,16,65
Government Office,Loan Department,15,11,15,30,Thursday,12,36
Government Office,Customer Service,84,7,15,39,Wednesday,8,58
Government Office,General,20,8,11,39,Saturday,17,29
Bank,General,116,1,8,10,Thursday,11,68
Bank,Customer Service,31,4,24,6,Wednesday,15,67
Bank,Customer Service,7,4,5,43,Wednesday,13,31
Hospital,Customer Service,59,1,4,10,Friday,8,36
Bank,General,30,9,13,58,Wednesday,20,43
Government Office,Cardiology,50,10,23,35,Saturday,14,66
Bank,Emergency,40,10,15,28,Thursday,15,45
Hospital,Emergency,67,6,24,36,Saturday,20,74
Government Office,Cardiology,68,8,19,58,Tuesday,10,73
Government Office,Emergency,90,3,20,32,Monday,17,85
Government Office,Customer Service,98,7,18,16,Monday,11,71
Bank,Cardiology,105,5,14,33,Saturday,18,70
Hospital,General,88,4,3,26,Monday,9,46
Government Office,Loan Department,42,7,18,15,Wednesday,9,44
Bank,Customer Service,33,11,4,22,Friday,15,23
Hospital,Loan Department,54,14,21,14,Saturday,14,57
Government Office,Customer Service,80,3,20,43,Friday,19,82
Government Office,Cardiology,32,11,6,29,Friday,15,33
Hospital,Customer Service,52,6,20,56,Friday,10,72
Government Office,Emergency,100,2,22,17,Tuesday,19,79
Hospital,Emergency,105,5,17,37,Friday,10,80
Hospital,Loan Department,119,1,16,47,Thursday,15,103
Hospital,Cardiology,33,1,6,34,Friday,14,54
Bank,Customer Service,18,12,16,36,Friday,19,22
Bank,Loan Department,31,2,23,41,Friday,13,86
Government Office,Customer Service,28,6,1,44,Monday,15,34
Bank,Loan Department,28,1,17,48,Saturday,13,75
Hospital,Customer Service,61,11,7,11,Friday,19,26
Hospital,Customer Service,110,3,19,33,Wednesday,13,103
Hospital,Loan Department,32,11,17,18,Tuesday,17,26
Bank,General,113,5,7,8,Saturday,17,56
Government Office,Emergency,104,5,0,53,Wednesday,18,56
Hospital,Loan Department,61,5,1,11,Wednesday,17,14
Bank,Cardiology,96,7,6,32,Saturday,15,66
Hospital,Loan Department,32,5,2,48,Saturday,13,29
Bank,Loan Department,24,3,15,15,Monday,17,28
Hospital,Emergency,65,7,13,38,Monday,14,60
Hospital,Emergency,23,10,8,52,Saturday,17,17
Bank,Emergency,110,9,19,18,Wednesday,20,70
Hospital,Loan Department,29,3,6,59,Thursday,19,34
Government Office,Customer Service,67,4,18,23,Monday,17,57
Hospital,Cardiology,89,11,14,18,Friday,19,48
Hospital,Emergency,7,5,8,22,Monday,13,29
Government Office,Cardiology,52,2,11,58,Monday,18,58
Bank,Emergency,97,11,1,13,Tuesday,19,32
Bank,Emergency,97,1,9,38,Tuesday,9,78
Hospital,Loan Department,112,8,12,23,Wednesday,13,87
Government Office,Customer Service,5,11,19,37,Friday,18,22
Bank,Emergency,12,9,9,38,Wednesday,8,16
Government Office,Cardiology,91,3,17,11,Friday,16,79
Government Office,Loan Department,50,8,1,50,Saturday,14,46
Hospital,Customer Service,15,8,6,47,Thursday,13,28
Bank,General,58,5,7,38,Tuesday,15,59
Hospital,Cardiology,21,1,14,50,Saturday,19,44
Hospital,Emergency,37,12,16,33,Thursday,16,52
Hospital,Cardiology,25,10,20,9,Monday,20,31
Government Office,General,17,1,19,51,Monday,16,71
Hospital,Loan Department,14,9,16,45,Thursday,15,43
Bank,Emergency,53,1,24,15,Tuesday,16,73
Hospital,General,40,7,20,30,Tuesday,13,73
Government Office,General,34,12,23,39,Thursday,20,44
Bank,Cardiology,56,6,10,27,Wednesday,20,37
Bank,Customer Service,97,11,23,37,Monday,13,90
Hospital,Cardiology,97,11,6,16,Monday,17,37
Government Office,Loan Department,108,9,8,38,Wednesday,17,66
Hospital,General,81,7,22,40,Thursday,20,87
Government Office,Cardiology,32,12,14,35,Saturday,9,31
Government Office,General,83,1,19,46,Friday,15,94
Government Office,Customer Service,100,14,24,17,Monday,15,87
Government Office,Loan Department,89,13,4,52,Wednesday,14,57
Bank,Loan Department,103,7,6,42,Saturday,10,53
Hospital,General,66,13,6,41,Thursday,10,28
Government Office,Loan Department,85,4,0,50,Tuesday,15,69
Bank,Emergency,46,12,15,50,Friday,8,31
Bank,Loan Department,110,13,16,33,Wednesday,14,79
Bank,Loan Department,24,1,15,23,Wednesday,9,42
Government Office,Customer Service,57,13,8,40,Friday,13,43
Bank,Customer Service,35,12,11,59,Wednesday,17,26
Government Office,Cardiology,52,12,24,43,Thursday,17,55
Bank,Loan Department,83,6,11,47,Wednesday,9,60
Bank,Loan Department,58,9,4,22,Friday,15,34
Hospital,General,93,14,19,26,Wednesday,15,68
Bank,General,80,5,5,24,Tuesday,16,63
Government Office,Loan Department,27,9,15,58,Tuesday,12,61
Government Office,Emergency,108,1,21,48,Friday,18,113
Government Office,Loan Department,118,7,16,58,Wednesday,9,91
Government Office,Cardiology,93,13,2,42,Wednesday,14,48
Government Office,Loan Department,38,1,11,48,Saturday,11,61
Government Office,Customer Service,112,11,16,40,Tuesday,20,71
Bank,General,36,10,10,42,Saturday,14,45
Bank,Customer Service,104,5,16,44,Saturday,9,88
Bank,Emergency,58,12,20,44,Monday,15,66
Bank,Loan Department,68,3,14,10,Friday,10,66
Bank,Cardiology,116,2,19,52,Friday,15,114
Government Office,General,16,13,9,11,Thursday,8,5
Government Office,Loan Department,5,1,3,25,Monday,14,28
Bank,General,11,10,16,33,Friday,16,36
Government Office,Customer Service,101,7,23,15,Tuesday,14,94
Bank,Customer Service,104,12,24,17,Tuesday,11,71
Government Office,Cardiology,87,10,4,43,Wednesday,14,58
Hospital,Cardiology,75,11,12,35,Tuesday,9,44
Government Office,General,107,9,10,38,Monday,9,58
Bank,Customer Service,20,7,12,41,Friday,9,28
Hospital,General,25,12,18,11,Wednesday,8,29
Government Office,Emergency,45,14,10,28,Tuesday,9,18
Government Office,General,65,10,6,43,Monday,13,50
Bank,Customer Service,107,2,18,8,Friday,18,85
Government Office,General,74,1,24,41,Friday,17,90
Bank,General,29,1,0,55,Saturday,16,35
Government Office,Emergency,22,10,10,37,Monday,13,35
Hospital,General,56,3,17,45,Tuesday,8,56
Hospital,Loan Department,21,7,13,33,Thursday,18,34
Hospital,Customer Service,90,13,24,6,Thursday,8,58
Government Office,Customer Service,90,5,3,40,Thursday,14,64
Government Office,General,105,7,24,30,Tuesday,13,102
Government Office,General,43,4,0,18,Thursday,14,35
Hospital,Customer Service,88,13,7,28,Friday,15,46
Bank,Cardiology,93,3,0,6,Monday,10,36
Hospital,General,26,14,16,31,Monday,9,24
Hospital,Emergency,37,5,12,31,Friday,20,34
Hospital,Customer Service,115,3,16,34,Friday,10,84
Hospital,General,52,14,11,32,Tuesday,10,28
Government Office,Cardiology,53,5,24,27,Monday,15,83
Government Office,General,68,11,24,38,Friday,11,69
Bank,General,27,11,24,49,Saturday,18,51
Bank,Emergency,10,1,5,54,Friday,12,41
Hospital,Cardiology,83,10,7,55,Thursday,20,52
Bank,Emergency,52,6,5,58,Wednesday,15,59
Hospital,General,62,12,5,15,Monday,11,22
Hospital,Loan Department,46,2,6,11,Tuesday,19,26
Hospital,Emergency,17,2,8,28,Thursday,8,27
Hospital,Loan Department,35,7,8,14,Friday,16,44
Government Office,Cardiology,47,6,2,15,Thursday,10,16
Government Office,General,96,10,5,51,Friday,20,49
Hospital,Customer Service,86,4,8,28,Wednesday,9,60
Hospital,Loan Department,108,4,1,47,Monday,9,55
Government Office,Loan Department,9,11,0,38,Wednesday,17,5
Hospital,Customer Service,5,3,1,25,Wednesday,15,24
Hospital,Loan Department,72,12,21,24,Thursday,15,71
Hospital,Loan Department,5,14,0,28,Tuesday,9,5
Bank,Loan Department,64,7,12,20,Friday,15,62
Hospital,General,81,8,21,30,Saturday,15,86
Bank,Emergency,47,13,4,21,Wednesday,10,12
Bank,Emergency,58,7,9,32,Friday,17,34
Government Office,Loan Department,63,10,13,16,Thursday,17,41
Hospital,General,98,10,18,5,Friday,17,64
Government Office,Loan Department,85,14,23,43,Thursday,9,64
Hospital,Cardiology,56,11,8,26,Wednesday,14,48
Government Office,Emergency,88,5,18,40,Thursday,16,90
Bank,Cardiology,44,13,3,13,Saturday,19,8
Bank,Cardiology,110,11,6,13,Saturday,19,38
Hospital,Loan Department,87,14,14,11,Thursday,13,67
Government Office,Loan Department,41,7,18,58,Tuesday,10,53
Bank,Emergency,85,10,21,12,Tuesday,12,74
Bank,Cardiology,111,9,9,28,Monday,9,65
Bank,Loan Department,8,5,3,17,Saturday,15,25
Hospital,Emergency,14,1,9,25,Friday,20,30
Bank,Cardiology,64,3,24,9,Friday,16,87
Government Office,General,91,7,23,27,Wednesday,16,84
Bank,Loan Department,29,11,8,10,Monday,19,5
Hospital,Cardiology,64,6,4,35,Monday,10,31
Hospital,General,45,14,13,40,Thursday,9,32
Bank,Emergency,40,5,3,20,Friday,17,19
Hospital,Emergency,80,3,7,42,Wednesday,13,71
Government Office,Emergency,14,10,6,22,Wednesday,9,13
Government Office,General,43,5,0,19,Tuesday,8,22
Bank,Loan Department,91,9,1,50,Tuesday,17,38
Bank,Loan Department,102,7,9,58,Wednesday,8,63
Hospital,Emergency,99,7,15,49,Monday,19,79
Bank,Emergency,21,1,1,17,Tuesday,18,24
Hospital,Emergency,65,11,16,51,Friday,10,60
Hospital,Loan Department,14,8,20,17,Saturday,16,53
Hospital,General,79,4,15,13,Wednesday,8,56
Bank,Loan Department,41,1,3,40,Saturday,9,35
Hospital,Loan Department,38,11,9,34,Tuesday,17,32
Bank,Cardiology,74,2,1,34,Thursday,13,55
Government Office,Emergency,5,5,7,52,Saturday,19,20
Hospital,Loan Department,17,5,11,12,Monday,9,21
Bank,General,115,6,10,57,Wednesday,10,81
Hospital,General,24,4,20,22,Thursday,18,45
Government Office,Emergency,65,13,5,18,Thursday,11,12
Bank,General,94,7,16,23,Wednesday,11,71
Hospital,Emergency,108,11,6,30,Thursday,16,56
Hospital,Emergency,26,9,18,35,Friday,15,54
Government Office,Loan Department,51,13,24,6,Wednesday,14,53
Bank,General,20,9,12,39,Saturday,9,34
Bank,Emergency,102,8,8,52,Friday,13,75
Bank,Cardiology,106,6,7,32,Thursday,9,60
Bank,Cardiology,51,11,13,42,Friday,17,35
Hospital,Customer Service,49,1,15,39,Thursday,19,45
Hospital,General,33,2,19,51,Monday,10,67
Bank,Customer Service,53,6,7,46,Wednesday,9,41
Hospital,Cardiology,67,13,18,12,Thursday,16,63
Hospital,General,12,3,2,48,Saturday,19,22
Bank,General,80,5,10,24,Thursday,12,69
Hospital,Customer Service,57,14,10,56,Friday,10,39
Government Office,Loan Department,106,14,11,52,Saturday,15,72
Hospital,Customer Service,89,4,19,8,Friday,18,79
Hospital,Cardiology,80,9,12,52,Monday,11,61
Bank,General,106,10,12,43,Saturday,17,59
Bank,Customer Service,117,13,12,32,Wednesday,10,58
Bank,Cardiology,70,10,21,17,Monday,12,72
Hospital,Cardiology,116,4,14,36,Thursday,20,83
Government Office,Loan Department,21,8,12,51,Wednesday,8,20
Bank,Customer Service,16,4,15,18,Saturday,10,26
Bank,Loan Department,53,14,10,53,Wednesday,18,20
Hospital,Customer Service,80,2,22,18,Wednesday,18,82
Hospital,General,49,14,14,11,Friday,8,32
Government Office,Cardiology,48,11,24,56,Saturday,16,82
Hospital,Loan Department,92,9,18,6,Friday,13,82
Bank,Loan Department,50,9,1,27,Wednesday,16,31
Bank,Emergency,59,13,24,12,Thursday,12,62
Government Office,Customer Service,86,9,17,7,Wednesday,11,53
Hospital,Cardiology,53,7,14,5,Friday,17,39
Bank,Loan Department,97,3,14,41,Saturday,16,95
Hospital,Customer Service,80,14,19,41,Tuesday,14,75
Hospital,Customer Service,30,2,22,27,Saturday,14,70
Bank,Loan Department,89,9,12,32,Tuesday,18,59
Bank,Emergency,67,3,8,17,Monday,9,40
Government Office,General,59,13,14,47,Saturday,15,61
Hospital,General,40,3,8,14,Thursday,15,54
Bank,Loan Department,24,14,8,49,Thursday,11,20
Hospital,Emergency,98,12,15,41,Tuesday,9,60
Hospital,General,29,12,20,29,Saturday,11,33
Hospital,Loan Department,66,9,2,56,Tuesday,9,35
Government Office,Customer Service,18,1,16,29,Monday,8,51
Government Office,General,103,3,22,13,Monday,16,99
Bank,Loan Department,98,2,15,37,Saturday,13,106
Bank,Customer Service,62,9,15,19,Friday,17,35
Hospital,General,51,12,15,18,Wednesday,17,28
Hospital,General,76,2,1,31,Thursday,10,53
Government Office,Customer Service,103,7,16,12,Wednesday,17,75
Bank,Emergency,110,13,0,8,Friday,12,36
Hospital,General,117,10,16,43,Saturday,8,82
Bank,General,70,12,18,28,Wednesday,20,46
Bank,Customer Service,92,11,21,19,Monday,20,72
Government Office,Loan Department,21,12,9,41,Wednesday,8,15
Government Office,Customer Service,86,6,6,53,Thursday,20,53
Bank,Cardiology,62,9,9,14,Tuesday,14,41
Government Office,Emergency,43,12,4,59,Wednesday,20,25
Bank,Loan Department,56,5,23,16,Wednesday,12,74
Hospital,Emergency,115,9,6,46,Tuesday,11,57
Bank,Customer Service,65,8,11,26,Wednesday,20,44
Hospital,Customer Service,55,10,0,20,Friday,15,27
Hospital,General,111,2,6,54,Saturday,9,72
Government Office,Emergency,76,6,6,27,Friday,17,51
Government Office,General,113,9,6,13,Saturday,16,63
Bank,Emergency,62,3,2,37,Tuesday,20,51
Government Office,Emergency,100,9,2,19,Friday,9,32
Bank,Loan Department,100,6,12,25,Monday,15,85
Bank,General,32,5,21,38,Monday,8,58
Government Office,Cardiology,111,14,14,10,Saturday,10,54
Hospital,Customer Service,42,10,17,32,Friday,9,32
Bank,Emergency,55,9,20,10,Monday,20,42
Government Office,Cardiology,17,11,11,55,Thursday,20,29
Government Office,Customer Service,25,11,18,28,Saturday,10,33
Government Office,Loan Department,86,12,3,46,Tuesday,15,51
Hospital,Loan Department,21,4,11,49,Tuesday,20,42
Government Office,Cardiology,29,3,14,6,Monday,17,38
Government Office,Emergency,93,1,5,30,Wednesday,16,78
Hospital,General,7,7,3,45,Friday,14,29
Government Office,General,55,8,5,54,Saturday,12,56
Hospital,Loan Department,14,6,13,53,Wednesday,14,58
Hospital,Cardiology,87,14,4,59,Tuesday,16,62
Government Office,Cardiology,107,8,1,27,Thursday,11,42
Government Office,General,44,6,5,45,Tuesday,20,38
Government Office,Emergency,21,4,6,31,Friday,16,48
Government Office,General,83,14,12,15,Thursday,16,54
Government Office,Emergency,28,13,8,46,Monday,19,17
Hospital,Loan Department,117,14,23,22,Monday,11,70
Hospital,General,14,9,24,7,Friday,14,49
Government Office,Cardiology,59,14,24,19,Friday,13,64
Hospital,Emergency,31,5,5,34,Monday,15,38
Government Office,Customer Service,43,10,0,8,Monday,18,5
Bank,Customer Service,63,14,16,40,Wednesday,17,42
Bank,Cardiology,115,10,15,25,Friday,15,74
Hospital,Cardiology,5,6,5,17,Saturday,13,18
Bank,General,60,6,4,51,Friday,13,55
Bank,General,73,10,3,36,Thursday,17,28
Bank,Cardiology,68,7,9,52,Saturday,9,52
Hospital,Customer Service,64,13,0,5,Monday,12,17
Hospital,Customer Service,42,9,12,32,Tuesday,8,27
Hospital,Emergency,53,8,16,51,Thursday,16,72
Government Office,Loan Department,69,12,4,28,Tuesday,15,33
Government Office,Cardiology,7,1,18,47,Tuesday,17,50
Bank,Cardiology,54,2,8,21,Wednesday,20,34
Bank,Loan Department,53,12,19,54,Thursday,8,50
Bank,Customer Service,47,9,17,8,Tuesday,10,31
Government Office,Emergency,19,1,15,15,Friday,17,37
Hospital,Emergency,24,6,23,58,Thursday,14,71
Government Office,Cardiology,92,9,21,16,Monday,15,83
Bank,General,93,12,14,34,Saturday,8,58
Government Office,Cardiology,62,11,11,50,Tuesday,20,47
Government Office,Customer Service,113,3,20,50,Tuesday,16,120
Government Office,General,21,13,10,34,Tuesday,14,29
Hospital,Loan Department,109,6,21,57,Friday,10,96
Hospital,Cardiology,50,1,2,8,Saturday,12,43
Bank,Customer Service,30,9,3,23,Saturday,12,25
